ref no,name,url
DL08012434,Grave of Murad Bakht,builtDetail.do?refId=12434&state=07
DL06012578,Gate to Kuncha-i-ustad Hamid,builtDetail.do?refId=12578&state=07
DL08011933,Inner gateway of Farrukhsiyar Mosque,builtDetail.do?refId=11933&state=07
DL09012220,Kos Minar,builtDetail.do?refId=12220&state=07
DL05011932,Qabronwali Masjid,builtDetail.do?refId=11932&state=07
DL05011931,Guler wali Masjid  Masjid Imdadi Begum ,builtDetail.do?refId=11931&state=07
DL05011930,Commercial Building ,builtDetail.do?refId=11930&state=07
DL02011929,Rehmani Masjid,builtDetail.do?refId=11929&state=07
DL09011841,Ruins,builtDetail.do?refId=11841&state=07
DL06011928,Anglo Arabic Public School,builtDetail.do?refId=11928&state=07
DL02011927,Mosque of Ghazuddin Khan ,builtDetail.do?refId=11927&state=07
DL05012171,Minto Bridge,builtDetail.do?refId=12171&state=07
DL05012547,Free Masons Hall Free Masonry Masonic Fraternity of New Delhi,builtDetail.do?refId=12547&state=07
DL05012174,Lala Diwan Chand Trust House ,builtDetail.do?refId=12174&state=07
DL05012173,Bara Mandir   Shri Agarwal Digamber Jain Mandir Raja Bazaar,builtDetail.do?refId=12173&state=07
DL05012154,Gateway,builtDetail.do?refId=12154&state=07
DL06012237,Tibbia College,builtDetail.do?refId=12237&state=07
DL02012432,Residence,builtDetail.do?refId=12432&state=07
DL02011886,St. Stephen s Hospital  Chapel,builtDetail.do?refId=11886&state=07
DL02011883,Hindu Rao Hospital,builtDetail.do?refId=11883&state=07
DL09011882,Tomb,builtDetail.do?refId=11882&state=07
DL02012546,Dharamshala,builtDetail.do?refId=12546&state=07
DL02012327,Meena Devi Medical Institute and Research centre,builtDetail.do?refId=12327&state=07
DL08012459,Dargah of Hazrat Sherifh Abdul Haq Muhaddi Dahelvi,builtDetail.do?refId=12459&state=07
DL08012249,Mazar of Hazrat Qazi Hameeduddin Nagauri,builtDetail.do?refId=12249&state=07
DL02011880,Old Secretariat,builtDetail.do?refId=11880&state=07
DL08012255,Kali Chand Building ,builtDetail.do?refId=12255&state=07
DL09012067,Tomb Kala Gumbad,builtDetail.do?refId=12067&state=07
DL09012066,Well ,builtDetail.do?refId=12066&state=07
DL02011879,St. Stephen College  Principal s Residence,builtDetail.do?refId=11879&state=07
DL02011878,St. Stephen s College  Chapel,builtDetail.do?refId=11878&state=07
DL01012214,Tank,builtDetail.do?refId=12214&state=07
