ref no,name,url
DL02011922,Bridge  Lahore Gate ,builtDetail.do?refId=11922&state=07
DL05012021,Dargah Jamia Rahimla Dargah Hazrat Imam Shah Wali-Ullah Mohaddis Dehlavi ,builtDetail.do?refId=12021&state=07
DL05011921,Gateway of a Building,builtDetail.do?refId=11921&state=07
DL05011920,Vallabhbhai Patel Smarak Trust,builtDetail.do?refId=11920&state=07
DL05011918,Free Church,builtDetail.do?refId=11918&state=07
DL06012409,Old Delhi Railway Station,builtDetail.do?refId=12409&state=07
DL06011514,Company Bagh,builtDetail.do?refId=11514&state=07
DL06011516,Town Hall,builtDetail.do?refId=11516&state=07
DL06011534,Allahabad Bank Building,builtDetail.do?refId=11534&state=07
DL06012085,Gateway,builtDetail.do?refId=12085&state=07
DL02012210,Mosque,builtDetail.do?refId=12210&state=07
DL06011905,Mirza Ghalib s In-Law s house,builtDetail.do?refId=11905&state=07
DL06011906,Mirza Ghalib s Haveli,builtDetail.do?refId=11906&state=07
DL06011561,Lala Chunna Mal s  Haveli,builtDetail.do?refId=11561&state=07
DL06012028,Temple School,builtDetail.do?refId=12028&state=07
DL06012031,Dharamshala,builtDetail.do?refId=12031&state=07
DL06012025,Dhumimal s Shivalaya,builtDetail.do?refId=12025&state=07
DL06011994,Residence,builtDetail.do?refId=11994&state=07
DL06012035,Shivalaya Ghantesvara Mahadev,builtDetail.do?refId=12035&state=07
DL06011991,Manak Chanda & Visvesvaranath s Shivalaya  Badi Ladli ,builtDetail.do?refId=11991&state=07
DL06012557,Haveli,builtDetail.do?refId=12557&state=07
DL06011989,Shivalaya Kunniji Maharaj ,builtDetail.do?refId=11989&state=07
DL06012001,Gateway,builtDetail.do?refId=12001&state=07
DL06011912,Namak Haram Ki Haveli Gateway towards Bhawani Shankar Ki Kachahari ,builtDetail.do?refId=11912&state=07
DL06011967,Gateway  Bansal Bhawan ,builtDetail.do?refId=11967&state=07
DL06011968,Gateway,builtDetail.do?refId=11968&state=07
DL06011957,Municipal Corporation Primary Girls  School,builtDetail.do?refId=11957&state=07
DL06012006,Rai Sahab Laxmi Nararayan Dharmshala,builtDetail.do?refId=12006&state=07
DL06012554,Bhawani Shankar ki Kacheri,builtDetail.do?refId=12554&state=07
DL06011512,Fatehpuri Masjid,builtDetail.do?refId=11512&state=07
DL06012335,Residence,builtDetail.do?refId=12335&state=07
DL06012309,Tahawwur Khan s mosque,builtDetail.do?refId=12309&state=07
DL06011895,Hauzwali Mosque,builtDetail.do?refId=11895&state=07
DL06012395,Durga Mandir Shivalaya,builtDetail.do?refId=12395&state=07
DL06012394,Haveli,builtDetail.do?refId=12394&state=07
DL06012392,Phatak Habsh Khan ,builtDetail.do?refId=12392&state=07
DL06012017,Gateway,builtDetail.do?refId=12017&state=07
DL06012337,Muhtasib s Mosque,builtDetail.do?refId=12337&state=07
DL06012307,Sarhindi Masjid,builtDetail.do?refId=12307&state=07
DL05012091,National Archives,builtDetail.do?refId=12091&state=07
DL05012191,Embankment,builtDetail.do?refId=12191&state=07
DL05012587,Tomb of Sheikh Muhammad,builtDetail.do?refId=12587&state=07
DL05012057,"Central Vista, Rajpath ",builtDetail.do?refId=12057&state=07
DL09011852,Wall,builtDetail.do?refId=11852&state=07
DL08012222,Wall,builtDetail.do?refId=12222&state=07
DL08012306,Tomb,builtDetail.do?refId=12306&state=07
DL08012537,Auliya Masjid,builtDetail.do?refId=12537&state=07
DL09011478,Canopy,builtDetail.do?refId=11478&state=07
DL09011349,Canopy,builtDetail.do?refId=11349&state=07
DL09011430,Masjid Neem Wali,builtDetail.do?refId=11430&state=07
DL09011348,Masjid Neem Wali,builtDetail.do?refId=11348&state=07
DL09011614,Masjid Sulemani Jangal Wala,builtDetail.do?refId=11614&state=07
DL09011737,Jamiatul-Quraan Ummahaatul Mominin Lilbanaat,builtDetail.do?refId=11737&state=07
DL09011609,Masjid Chand Sitara Gumbad Wali,builtDetail.do?refId=11609&state=07
DL09011621,Wall Enclosure,builtDetail.do?refId=11621&state=07
DLOthers011531,Unknown Structure,builtDetail.do?refId=11531&state=07
DL09011615,Metcalfe s Boat House,builtDetail.do?refId=11615&state=07
DL09011532,Well ,builtDetail.do?refId=11532&state=07
DL05011917,Memorial Canopy of Lady Hardinge,builtDetail.do?refId=11917&state=07
DL05012060,Lady Hardinge Medical College,builtDetail.do?refId=12060&state=07
DL09011612,Gateway,builtDetail.do?refId=11612&state=07
DL09011738,Gultashi Wali Masjid,builtDetail.do?refId=11738&state=07
DL09011610,Northern Gateway of Qutub Sahib Dargah,builtDetail.do?refId=11610&state=07
DL09011458,Tomb,builtDetail.do?refId=11458&state=07
DL09011431,Tomb,builtDetail.do?refId=11431&state=07
DL09011606,Ajmeri Gate  Naya Darwaja ,builtDetail.do?refId=11606&state=07
DL09011381,Majlis Khana,builtDetail.do?refId=11381&state=07
DL09011487,Majlis Khana,builtDetail.do?refId=11487&state=07
DL05012234,Bangla Sahib Gurudwara,builtDetail.do?refId=12234&state=07
DL09011753,Mosque of Qutub Sahib,builtDetail.do?refId=11753&state=07
DL09011757,Mosque,builtDetail.do?refId=11757&state=07
DL09011622,Tomb of Hazrat Qazi Hameeduddin Nagauri,builtDetail.do?refId=11622&state=07
DL09011605,Inner Gateway of Farrukhsiyar,builtDetail.do?refId=11605&state=07
DL09011490,Tomb of Khwaja Abdul Aziz Bastami,builtDetail.do?refId=11490&state=07
DL09011698,Tomb of Khwaja Qutubuddin Bakhtiar Kaki,builtDetail.do?refId=11698&state=07
DL09011686,Tomb of Maulana Fakhruddin,builtDetail.do?refId=11686&state=07
DL09011501,Grave and Mosque of Motamad Khan,builtDetail.do?refId=11501&state=07
DL09011379,Grave and Mosque of Motamad Khan,builtDetail.do?refId=11379&state=07
DL09011378,Mosque,builtDetail.do?refId=11378&state=07
DL09011860,Residence,builtDetail.do?refId=11860&state=07
DL09011604,Charkkar Wali Masjid,builtDetail.do?refId=11604&state=07
DL07012530,Minar,builtDetail.do?refId=12530&state=07
DL08012129,Tomb of Rana Sahib,builtDetail.do?refId=12129&state=07
DL08012049,Dalan,builtDetail.do?refId=12049&state=07
DL05011977,Sacred Heart Cathedral,builtDetail.do?refId=11977&state=07
DL08011978,Samadhi of Mitra Sen,builtDetail.do?refId=11978&state=07
DL08011974,Domed Chhatri,builtDetail.do?refId=11974&state=07
DL08012051,Haveli,builtDetail.do?refId=12051&state=07
DL08011947,Mosque,builtDetail.do?refId=11947&state=07
DL08012087,Well,builtDetail.do?refId=12087&state=07
DL01012090,Residence,builtDetail.do?refId=12090&state=07
DL08011998,Jami Masjid ,builtDetail.do?refId=11998&state=07
DL08012120,"Delhi Gate, Najafgarh",builtDetail.do?refId=12120&state=07
DL09012681,Mosque of Basti  ,builtDetail.do?refId=12681&state=07
DL09012676,Tomb of Basti,builtDetail.do?refId=12676&state=07
DL09012675,Gumti of Sheikh Ali,builtDetail.do?refId=12675&state=07
DL05012136,Mosque Sayyad Hassan Rasul Mosque ,builtDetail.do?refId=12136&state=07
DL09012200,Gateway,builtDetail.do?refId=12200&state=07
DL09012199,Tomb of Sayyid Yasin,builtDetail.do?refId=12199&state=07
DL09011335,Well,builtDetail.do?refId=11335&state=07
DL09011489,Well,builtDetail.do?refId=11489&state=07
DL09011505,Tomb of Sayyid Yasin,builtDetail.do?refId=11505&state=07
DL09011507,Mosque of Chilla Hazrat Nizamuddin,builtDetail.do?refId=11507&state=07
DL09011345,Mosque Chilla Hazrat Nizamuddin,builtDetail.do?refId=11345&state=07
DL05012198,Grave Platform Cenotaph,builtDetail.do?refId=12198&state=07
DL05012038,Tomb,builtDetail.do?refId=12038&state=07
DL05012039,Mosque,builtDetail.do?refId=12039&state=07
DL09011674,Mosque,builtDetail.do?refId=11674&state=07
DL09012228,Well,builtDetail.do?refId=12228&state=07
DL05012133,Laxmi Narayan Mandir Birla Mandir ,builtDetail.do?refId=12133&state=07
DL05012137,NP Boys Senior Secondary School.,builtDetail.do?refId=12137&state=07
DL05012037,Tomb of Khan-i-Jahan Telangani,builtDetail.do?refId=12037&state=07
DL09011774,Tomb of Khan-I-Jahan Tilangani,builtDetail.do?refId=11774&state=07
DL09011587,Dargah Hazrat Khawaja Shaikh Imaduddin Firdousi,builtDetail.do?refId=11587&state=07
DL09011584,Dargah Fatima Bi,builtDetail.do?refId=11584&state=07
DL05012272,Ajimganj Sarai,builtDetail.do?refId=12272&state=07
DL05012086,Grave enclosure,builtDetail.do?refId=12086&state=07
DL05012118,Mosque,builtDetail.do?refId=12118&state=07
DL05012055,New Delhi Cemetry Christian Cemetry ,builtDetail.do?refId=12055&state=07
DL05012125,Masjed Masjeedia Majeedia ,builtDetail.do?refId=12125&state=07
DL05012270,Kapurthalla House,builtDetail.do?refId=12270&state=07
DL07012022,Shidion Ki Masjid ,builtDetail.do?refId=12022&state=07
DL05012056,Hammam,builtDetail.do?refId=12056&state=07
DL09011829,Anang Tal,builtDetail.do?refId=11829&state=07
DL05012158,Dargah Matka Peer,builtDetail.do?refId=12158&state=07
DL05012107,Dargah,builtDetail.do?refId=12107&state=07
DL05011916,MCD Primary School,builtDetail.do?refId=11916&state=07
DL05012104,Mosque  Zabta Ganj ,builtDetail.do?refId=12104&state=07
DL05012264,Faridkot House,builtDetail.do?refId=12264&state=07
DL05011915,Bari Masjid,builtDetail.do?refId=11915&state=07
DL05012083,Sunheri Masjid,builtDetail.do?refId=12083&state=07
DL05012094,All India Radio Building,builtDetail.do?refId=12094&state=07
DL05012263,Building within President estate,builtDetail.do?refId=12263&state=07
DL05012340,Rakabganj Gurudwara,builtDetail.do?refId=12340&state=07
DL05012101,Cathedral Church of Redemption Recenter ,builtDetail.do?refId=12101&state=07
DL05012341,RML Hospital,builtDetail.do?refId=12341&state=07
DL06012262,Tomb of Ghaziuddin Khan,builtDetail.do?refId=12262&state=07
DL06012305,Residence,builtDetail.do?refId=12305&state=07
DL06011869,Ramjas Sr.Secondary School,builtDetail.do?refId=11869&state=07
DL06012363,Bhartiya Bal Sadan Society,builtDetail.do?refId=12363&state=07
DL06012304,Haveli,builtDetail.do?refId=12304&state=07
DL06012303,Madan Mashal Lal Ayurvedic Charitable Dispensary,builtDetail.do?refId=12303&state=07
DL06012302,Kalan Masjid,builtDetail.do?refId=12302&state=07
DL06012301,Telion ka Phatak,builtDetail.do?refId=12301&state=07
DL06011946,Holy Trinity Church,builtDetail.do?refId=11946&state=07
DL06012223,Dr. Shroff s Charity Eye Hospital,builtDetail.do?refId=12223&state=07
DL02012233,Office of Election Commission,builtDetail.do?refId=12233&state=07
DL06012242,Masjid Beriwali ,builtDetail.do?refId=12242&state=07
DL02011945,Shri Digambar Jain mandir,builtDetail.do?refId=11945&state=07
DL06012239,Sunehari Masjid,builtDetail.do?refId=12239&state=07
DL06012300,Mosque of Shah Gulam Ali,builtDetail.do?refId=12300&state=07
DL06012362,Mosque,builtDetail.do?refId=12362&state=07
DL09011634,Well Mosque,builtDetail.do?refId=11634&state=07
DL06011944,Tomb of Shah Turkman ,builtDetail.do?refId=11944&state=07
DL06011943,Anjuman Masjid,builtDetail.do?refId=11943&state=07
DL02012227,Aminia Islamia Arabia Madarsa,builtDetail.do?refId=12227&state=07
DL06012299,Residence,builtDetail.do?refId=12299&state=07
DL06012298,Amrudwali Mosque,builtDetail.do?refId=12298&state=07
DL01012065,Mughal Tank,builtDetail.do?refId=12065&state=07
DL01012071,Haveli,builtDetail.do?refId=12071&state=07
DL01012069,Shikargarh,builtDetail.do?refId=12069&state=07
DL05012018,Zinat-ul-Masjid  Ghata Masjid ,builtDetail.do?refId=12018&state=07
DL09012585,Khanqah,builtDetail.do?refId=12585&state=07
DL09011697,Ruins ,builtDetail.do?refId=11697&state=07
DL09011680,Ruins ,builtDetail.do?refId=11680&state=07
DL09011942,Mahal,builtDetail.do?refId=11942&state=07
DL08011628,Bund,builtDetail.do?refId=11628&state=07
DL09011510,Kalka Mandir,builtDetail.do?refId=11510&state=07
DL09011492,Gateway,builtDetail.do?refId=11492&state=07
DL06012230,Sultan Singh Residence,builtDetail.do?refId=12230&state=07
DL09011775,Tomb,builtDetail.do?refId=11775&state=07
DL09011711,Tomb,builtDetail.do?refId=11711&state=07
DL09011701,Tomb,builtDetail.do?refId=11701&state=07
DL09012123,Tomb,builtDetail.do?refId=12123&state=07
DL09011815,Tomb ,builtDetail.do?refId=11815&state=07
DL09011632,Gateway ,builtDetail.do?refId=11632&state=07
DL09011602,Building ,builtDetail.do?refId=11602&state=07
DL09011807,Baradari,builtDetail.do?refId=11807&state=07
DL09012551,Bulbulki,builtDetail.do?refId=12551&state=07
DL09011421,Bridge,builtDetail.do?refId=11421&state=07
DL09011333,Bridge,builtDetail.do?refId=11333&state=07
DL02012224,Bengali Club,builtDetail.do?refId=12224&state=07
DL09012116,Mosque of Darwesh Shah,builtDetail.do?refId=12116&state=07
DL09012127,Enclosure wall of Kharera Village,builtDetail.do?refId=12127&state=07
DL09012117,Structures,builtDetail.do?refId=12117&state=07
DL09011821,Barah Khamba,builtDetail.do?refId=11821&state=07
DL09012115,Chhoti Gumti,builtDetail.do?refId=12115&state=07
DL09012128,Well,builtDetail.do?refId=12128&state=07
DL09011555,Wall Mosque,builtDetail.do?refId=11555&state=07
DL09011671,Kali Gumti,builtDetail.do?refId=11671&state=07
DL09011625,Wall Mosque,builtDetail.do?refId=11625&state=07
DL09011601,Turret,builtDetail.do?refId=11601&state=07
DL09011497,Idgah,builtDetail.do?refId=11497&state=07
DL06012183,Central Telegraph Office,builtDetail.do?refId=12183&state=07
DL05012344,Connaught Circle,builtDetail.do?refId=12344&state=07
DL05012346,Regal-Rivoli Building,builtDetail.do?refId=12346&state=07
DL06012226,Skinner s house,builtDetail.do?refId=12226&state=07
DL07012577,Dalan,builtDetail.do?refId=12577&state=07
DL09011548,Wall Enclosure,builtDetail.do?refId=11548&state=07
DL02012204,Budhiya wali Masjid,builtDetail.do?refId=12204&state=07
DL06011522,Gateway,builtDetail.do?refId=11522&state=07
DL06011552,Residence,builtDetail.do?refId=11552&state=07
DL06012231, Shia Jama Masjid ,builtDetail.do?refId=12231&state=07
DL06011560,Fort View Hotel,builtDetail.do?refId=11560&state=07
DL09011744,Unknown Building,builtDetail.do?refId=11744&state=07
DL06011616,Gurudwara Sis Ganj,builtDetail.do?refId=11616&state=07
DL06011559,North Brook Fountain  Bhai Mati Das Chowk ,builtDetail.do?refId=11559&state=07
DL06011588,Shahi Sunehri Masjid,builtDetail.do?refId=11588&state=07
DL06011563,State Bank of India,builtDetail.do?refId=11563&state=07
DL06012361,MCD Office,builtDetail.do?refId=12361&state=07
DL06011518,Punjab National Bank Building,builtDetail.do?refId=11518&state=07
DL06011539,ACP Office  Delhi Police ,builtDetail.do?refId=11539&state=07
DL06012403,Shri Agarwal Digambar Jain Panchayati Mandir,builtDetail.do?refId=12403&state=07
DL06011533,Masjid Mubarak Begum,builtDetail.do?refId=11533&state=07
DL06011562,Masjid Badal Beg,builtDetail.do?refId=11562&state=07
DL06011553,Gateway,builtDetail.do?refId=11553&state=07
DL06011550,Residence,builtDetail.do?refId=11550&state=07
DL02012278,Qudsia mosque,builtDetail.do?refId=12278&state=07
DL09011544,Ruins of  Mosque,builtDetail.do?refId=11544&state=07
DL02012203,St. Anne s School ,builtDetail.do?refId=12203&state=07
DL02012277,Gateway,builtDetail.do?refId=12277&state=07
DL06011699,Lal Mandir,builtDetail.do?refId=11699&state=07
DL09011540,Grave Enclosure,builtDetail.do?refId=11540&state=07
DL06012354,Ram Nath Inder devi Trust,builtDetail.do?refId=12354&state=07
DL09011537,Wall Mosque,builtDetail.do?refId=11537&state=07
DL06012353,Residence,builtDetail.do?refId=12353&state=07
DL09011623,Firdausi Masjid Pahar Wali,builtDetail.do?refId=11623&state=07
DL02012323,Canal Rest House,builtDetail.do?refId=12323&state=07
DL09012529,Shahi Masjid,builtDetail.do?refId=12529&state=07
DL09012528,Northern Gateway,builtDetail.do?refId=12528&state=07
DL02012322,Residence  Desserted  ,builtDetail.do?refId=12322&state=07
DL09012527,Kos Minar,builtDetail.do?refId=12527&state=07
DL09012078,Embankment,builtDetail.do?refId=12078&state=07
DL09012526,Residence,builtDetail.do?refId=12526&state=07
DL09011677,Tomb of Shaikh Haidar,builtDetail.do?refId=11677&state=07
DL09011708,Hanuman Temple,builtDetail.do?refId=11708&state=07
DL09011856,Jain Mandir,builtDetail.do?refId=11856&state=07
DL09011812,Turret,builtDetail.do?refId=11812&state=07
DL09011783,Tomb of Haji Khanam,builtDetail.do?refId=11783&state=07
DL09011811,Gateway,builtDetail.do?refId=11811&state=07
DL09011719,Masjid Nawab Jhajjar,builtDetail.do?refId=11719&state=07
DL01011859,Tomb,builtDetail.do?refId=11859&state=07
DL02012321,The Delhi Brother hood House.,builtDetail.do?refId=12321&state=07
DL09011568,Pahar,builtDetail.do?refId=11568&state=07
DL09011332,Mosque known as Pahar,builtDetail.do?refId=11332&state=07
DL09011557,Grave Enclosure,builtDetail.do?refId=11557&state=07
DL09011810,Majlis Khana,builtDetail.do?refId=11810&state=07
DL09011558,Tomb,builtDetail.do?refId=11558&state=07
DL09011486,Tomb of Pathan Brothers,builtDetail.do?refId=11486&state=07
DL09011331,Tomb of Pathan Brothers,builtDetail.do?refId=11331&state=07
DL09011547,Mahfil Khana,builtDetail.do?refId=11547&state=07
DL09011521,Wall Mosque,builtDetail.do?refId=11521&state=07
DL09011483,Tomb of the Grand Daughter of Shaikh Farid Shakarganj,builtDetail.do?refId=11483&state=07
DL09011451,Takht of Roshan Chirag-I-Delhi,builtDetail.do?refId=11451&state=07
DL09012584,Mosques of Farukhsiyar,builtDetail.do?refId=12584&state=07
DL09011809,Mosque of Farrukhsiyar,builtDetail.do?refId=11809&state=07
DL09011440,Tomb of RoshanChirag Delhi,builtDetail.do?refId=11440&state=07
DL09011439,Eastern Gateway of Inner Enclosure,builtDetail.do?refId=11439&state=07
DL09011515,Hauz Khas Tank,builtDetail.do?refId=11515&state=07
DL09011827,Ruins of Mosque,builtDetail.do?refId=11827&state=07
DL09011571,Langar Khana,builtDetail.do?refId=11571&state=07
DL09011377,Grave of Shaikh Nizamuddin Abulmoiyed,builtDetail.do?refId=11377&state=07
DL09011468,Grave of Shaikh Nizamuddin Abulmoiyed,builtDetail.do?refId=11468&state=07
DL09011570,Takya Azim Shah Masjid Peer,builtDetail.do?refId=11570&state=07
DL08012319,Residence,builtDetail.do?refId=12319&state=07
DL02012318,St. Stephens Community Centre,builtDetail.do?refId=12318&state=07
DL09011808,Maluk Chand ka Gumbad,builtDetail.do?refId=11808&state=07
DL01011543,Well,builtDetail.do?refId=11543&state=07
DL09011482,Gumti,builtDetail.do?refId=11482&state=07
DL09011787,Tomb ,builtDetail.do?refId=11787&state=07
DL09011756,Chaupal,builtDetail.do?refId=11756&state=07
DL09011786,Tomb,builtDetail.do?refId=11786&state=07
DL08012003,Tomb,builtDetail.do?refId=12003&state=07
DL08012089,Mosque of Hazi Langa,builtDetail.do?refId=12089&state=07
DL09011460,Gateway,builtDetail.do?refId=11460&state=07
DL09011459,Haji Linga s Gumbad,builtDetail.do?refId=11459&state=07
DL08011424,Mosque of Haji Langa,builtDetail.do?refId=11424&state=07
DL09011580,Mosque ,builtDetail.do?refId=11580&state=07
DL08012073,Mosque,builtDetail.do?refId=12073&state=07
DL08012032,Residence,builtDetail.do?refId=12032&state=07
DL08011329,Mosque ,builtDetail.do?refId=11329&state=07
DL09011481,Mosque ,builtDetail.do?refId=11481&state=07
DL09011419,Wall Masque,builtDetail.do?refId=11419&state=07
DL08011327,Wall Mosque,builtDetail.do?refId=11327&state=07
DL06011511,Central Baptist Church,builtDetail.do?refId=11511&state=07
DL09011754,Mosque,builtDetail.do?refId=11754&state=07
DL01011326,Garden Wall,builtDetail.do?refId=11326&state=07
DL09011582,Tuglaq Garden Wall,builtDetail.do?refId=11582&state=07
DL09012042,Mosque,builtDetail.do?refId=12042&state=07
DL05011985,"Tomb,Baradari",builtDetail.do?refId=11985&state=07
DL09011822,Bare Lau ka Gumbad,builtDetail.do?refId=11822&state=07
DL08012024,Bara Lao Ka Gumbad,builtDetail.do?refId=12024&state=07
DL08012674,Tomb,builtDetail.do?refId=12674&state=07
DL08012673,Mosque,builtDetail.do?refId=12673&state=07
DL02012317,Paulas Sadan,builtDetail.do?refId=12317&state=07
DL08012672,Qasai Wala gumbad,builtDetail.do?refId=12672&state=07
DL08011984,Tomb,builtDetail.do?refId=11984&state=07
DL08011982,Two temples,builtDetail.do?refId=11982&state=07
DL08011981,Temple,builtDetail.do?refId=11981&state=07
DL09011535,Grave Enclosure,builtDetail.do?refId=11535&state=07
DL09011638,Domed Building,builtDetail.do?refId=11638&state=07
DL09011569,Meeting Place,builtDetail.do?refId=11569&state=07
DL02011986,Baptist Mission Gange Girls Sr. Sec. School,builtDetail.do?refId=11986&state=07
DL09011444,"Haveli, No.701",builtDetail.do?refId=11444&state=07
DL06011411,St James Church,builtDetail.do?refId=11411&state=07
DL09011528,Grave Platform,builtDetail.do?refId=11528&state=07
DL06011453,Office of the Election Commission,builtDetail.do?refId=11453&state=07
DL06011393,Office of the Election Commission,builtDetail.do?refId=11393&state=07
DL02011987,Circular Baradari,builtDetail.do?refId=11987&state=07
DL02012550,Lal Masjid,builtDetail.do?refId=12550&state=07
DL09011620,Grave of Zahir Ali Shah  Nathe Shah Baba  ,builtDetail.do?refId=11620&state=07
DL06011418,Lal Masjid Fakrul Masjid ,builtDetail.do?refId=11418&state=07
DL09011619,Tomb,builtDetail.do?refId=11619&state=07
DL09011618,Ruins of Wall,builtDetail.do?refId=11618&state=07
DL06011416,Nicholson s Cemetery ,builtDetail.do?refId=11416&state=07
DL09011599,Wall Mosque,builtDetail.do?refId=11599&state=07
DL09011391,Grave of Bibi Hambal,builtDetail.do?refId=11391&state=07
DL09011598,Western Gateway of Inner Enclosure,builtDetail.do?refId=11598&state=07
DL02012315,The Exchange Store,builtDetail.do?refId=12315&state=07
DL09011581,An Enclosure ,builtDetail.do?refId=11581&state=07
DL09011578,Qunati Masjid Bagh Wali,builtDetail.do?refId=11578&state=07
DL09011577,Grave Enclosure,builtDetail.do?refId=11577&state=07
DL09011576,Gateway ,builtDetail.do?refId=11576&state=07
DL05011383,Chooti Karbala,builtDetail.do?refId=11383&state=07
DL09011806,Chillagah of Baba Shaikh Fariduddin Shakar Ganj,builtDetail.do?refId=11806&state=07
DL09011805,Grave Platform,builtDetail.do?refId=11805&state=07
DL08012258,Tomb of seikh Shihabuddin,builtDetail.do?refId=12258&state=07
DL09011309,Dargah of Hazrat Sheikh Shihabuddin Ashiq Allah ,builtDetail.do?refId=11309&state=07
DL09011415,Hazrat Shaikh Shihabuddin  Ashiq Allah Dargah ,builtDetail.do?refId=11415&state=07
DL09011789,Tomb ,builtDetail.do?refId=11789&state=07
DL09011414,Idgah,builtDetail.do?refId=11414&state=07
DL09011705,Mosque,builtDetail.do?refId=11705&state=07
DL09011575,Domed Gateway,builtDetail.do?refId=11575&state=07
DL09011574,Sohan Burj ,builtDetail.do?refId=11574&state=07
DL09011624,Chihaltan Chihalman  Dargah Chalis Abdal ,builtDetail.do?refId=11624&state=07
DL09011788,Mosque,builtDetail.do?refId=11788&state=07
DL09011554,Mosque and Building,builtDetail.do?refId=11554&state=07
DL08012246,Takya of Kamli Shah,builtDetail.do?refId=12246&state=07
DL09011804,Takya of Kamli Shah,builtDetail.do?refId=11804&state=07
DL09011762,Tomb ,builtDetail.do?refId=11762&state=07
DL09011718,Tomb,builtDetail.do?refId=11718&state=07
DL09011630,Chhoti Masjid Bagh Wali,builtDetail.do?refId=11630&state=07
DL09011755,Stables,builtDetail.do?refId=11755&state=07
DL08012520,Tomb of Khan Shahid,builtDetail.do?refId=12520&state=07
DL09011803,Tomb Enclosure ,builtDetail.do?refId=11803&state=07
DL09011687,Dadabari Jain Mandir,builtDetail.do?refId=11687&state=07
DL09011689,Metacalfe s Folly 3,builtDetail.do?refId=11689&state=07
DL09011631,Unknown Building,builtDetail.do?refId=11631&state=07
DL09011801,Plinth of Wall Mosque,builtDetail.do?refId=11801&state=07
DL09011800,Enclosure,builtDetail.do?refId=11800&state=07
DL09011799,Gateway,builtDetail.do?refId=11799&state=07
DL09011597,Gausiya Masjid,builtDetail.do?refId=11597&state=07
DL09011626,Domed Building,builtDetail.do?refId=11626&state=07
DL09011642,Mosque of Maulana Majududdin,builtDetail.do?refId=11642&state=07
DL06011542,MCD Dispensary,builtDetail.do?refId=11542&state=07
DL09011567,Lodi Period Well,builtDetail.do?refId=11567&state=07
DL09011465,Chhatri,builtDetail.do?refId=11465&state=07
DL09011417,Tomb of Khwaja Hasan Khaiyat,builtDetail.do?refId=11417&state=07
DL05011893,Mosque,builtDetail.do?refId=11893&state=07
DL09011703,Kali Masjid ,builtDetail.do?refId=11703&state=07
DL07012525,Hathi Khana,builtDetail.do?refId=12525&state=07
DL08012026,St. Martin s Church,builtDetail.do?refId=12026&state=07
DL05011382,Imambara,builtDetail.do?refId=11382&state=07
DL09011526,Lal Masjid,builtDetail.do?refId=11526&state=07
DL09011595,Grave of Shaikh Hasan Tahir,builtDetail.do?refId=11595&state=07
DL08012391,Tomb Enclosure,builtDetail.do?refId=12391&state=07
DLOthers011854,Tomb,builtDetail.do?refId=11854&state=07
DL06011748,Gateway,builtDetail.do?refId=11748&state=07
DL08011940,Gateway of Maulana Fakhruddin,builtDetail.do?refId=11940&state=07
DL08011464,Garhi Ka Well,builtDetail.do?refId=11464&state=07
DL09011594,Circular Building,builtDetail.do?refId=11594&state=07
DL08012296,Mosque,builtDetail.do?refId=12296&state=07
DL09011443,Northern gateway of Dargah Of Qutub Sahib,builtDetail.do?refId=11443&state=07
DL06011729,Lala Bhanamal Gulzarilal Bhawan,builtDetail.do?refId=11729&state=07
DL08012294,Gateway,builtDetail.do?refId=12294&state=07
DL08012390,Graveyard,builtDetail.do?refId=12390&state=07
DL08012519,Metcalfe s Boat house,builtDetail.do?refId=12519&state=07
DL02012208,Badli Sarai,builtDetail.do?refId=12208&state=07
DL09011442,Tomb,builtDetail.do?refId=11442&state=07
DL08012467,Veterinary Clinic,builtDetail.do?refId=12467&state=07
DL09011823,Adham Khan Tomb,builtDetail.do?refId=11823&state=07
DL08011939,Residence,builtDetail.do?refId=11939&state=07
DL08012465,Haji-Jamal-ud-din Building,builtDetail.do?refId=12465&state=07
DL09011593,Pankhe Wali Masjid and Madarsa,builtDetail.do?refId=11593&state=07
DL09012548,Muhammdi Wali Masjid,builtDetail.do?refId=12548&state=07
DL09011564,Canopy,builtDetail.do?refId=11564&state=07
DL09012583,Kali Gumti,builtDetail.do?refId=12583&state=07
DL09011461,Tomb and Dargah of Shaikh Hafiz Riyazuddin,builtDetail.do?refId=11461&state=07
DL09011441,Dargah Hazrat Mai Sahiba,builtDetail.do?refId=11441&state=07
DL09011592,Grave Enclosure ,builtDetail.do?refId=11592&state=07
DL06011635,Gateway to Kuncha Dayaram,builtDetail.do?refId=11635&state=07
DL09011436,Well,builtDetail.do?refId=11436&state=07
DL09011589,Domed Chhatri,builtDetail.do?refId=11589&state=07
DL09011590,Ruins of Dalan,builtDetail.do?refId=11590&state=07
DL09011390,Ruins of Dalan,builtDetail.do?refId=11390&state=07
DL06012195,Gateway,builtDetail.do?refId=12195&state=07
DL08011401,Well,builtDetail.do?refId=11401&state=07
DL06012186,Chunnamal Haveli,builtDetail.do?refId=12186&state=07
DL09011412,Chaupal Ka Well,builtDetail.do?refId=11412&state=07
DL09011425,Dargah Peer Sayed Baba Jalaluddin,builtDetail.do?refId=11425&state=07
DL09011409,Tomb of Kamaluddin,builtDetail.do?refId=11409&state=07
DL09011452,Tomb of Sheikh Zainuddin,builtDetail.do?refId=11452&state=07
